episode,timestamp,success_rate,episode_reward,intercept_success,intercept_fail,enemy_missiles,defense_missiles,territory_hits,avg_prediction_error,policy_loss,value_loss,epsilon,learning_rate
194,1769422943.853099,0.0000,-155.11,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
195,1769422991.086084,0.0000,0.00,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
196,1769423038.5017676,0.0000,-77.71,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
197,1769423085.8225396,0.0000,-231.20,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
198,1769423132.9385314,0.0000,-231.41,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
199,1769423180.388505,0.0000,-76.42,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
200,1769423227.7437,0.0000,-231.61,0,6,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
201,1769423275.1307015,0.0000,-229.03,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
202,1769423322.4894643,0.0000,-234.44,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
203,1769423369.9139948,0.0000,-233.21,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
204,1769423421.2076654,0.0000,-151.50,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000980
205,1769423468.467103,0.0000,-155.88,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
206,1769423515.9639838,0.0000,-234.37,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
207,1769423563.424121,0.0000,-155.96,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
208,1769423610.8714364,0.0000,-153.91,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
209,1769423658.320126,0.0000,-154.65,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
210,1769423705.4460864,0.0000,-229.55,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
211,1769423752.793661,0.0000,-309.58,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
212,1769423800.255435,0.0000,-233.83,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
213,1769423847.7275543,0.0000,-388.75,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
214,1769423895.2361367,0.0000,-77.23,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
215,1769423942.8267653,0.0000,-156.09,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
216,1769423990.143928,0.0000,-153.01,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
217,1769424037.4486668,0.0000,-306.34,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
218,1769424085.0284538,0.0000,-233.63,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
219,1769424132.4552655,0.0000,-231.23,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
220,1769424179.7462523,0.0000,-305.74,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
221,1769424227.0818968,0.0000,-311.70,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
222,1769424274.6392765,0.0000,-79.31,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
223,1769424321.9804125,0.0000,-153.73,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
224,1769424369.5712829,0.0000,-153.80,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
225,1769424416.9379969,0.0000,-231.25,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
226,1769424464.4749815,0.0000,-231.44,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
227,1769424511.9487126,0.0000,-310.05,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
228,1769424563.1819265,0.0000,-76.31,0,2,10,1,0,0.00,0.000000,0.000000,0.5000,0.000980
229,1769424610.8115687,0.0000,-229.38,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
230,1769424658.300996,0.0000,-308.17,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
231,1769424705.672162,0.0000,-77.64,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
232,1769424753.149465,0.0000,-307.31,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
233,1769424800.3757982,0.0000,-231.96,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
234,1769424847.693797,0.0000,-75.04,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
235,1769424895.0230563,0.0000,-77.66,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
236,1769424942.3701317,0.0000,-76.97,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
237,1769424990.130489,0.0000,-230.30,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
238,1769425037.7127318,0.0000,-157.01,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
239,1769425085.0138938,0.0000,-230.64,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
240,1769425132.2086089,0.0000,-385.08,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
241,1769425179.5328922,0.0000,-151.79,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
242,1769425226.922407,0.0000,-229.83,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
243,1769425274.210047,0.0000,-155.58,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
244,1769425321.6577086,0.0000,-233.41,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
245,1769425369.2139578,0.0000,-230.95,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
246,1769425416.607614,0.0000,-156.75,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
247,1769425463.746225,0.0000,-155.78,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
248,1769425511.0615902,0.0000,-230.55,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000980
